date,screen,ticker,price
2026-09-13,top,ECPG,98.56
2026-09-13,top,SNDK,1633.35
2026-09-13,top,CDNA,50.26
2026-09-13,top,NUTX,200.24
2026-09-13,top,INSW,103.65
2026-09-13,top,INCY,121.47
2026-09-13,top,LPG,55.18
2026-09-13,top,BFH,106.37
2026-09-13,top,KNSA,76.27
2026-09-13,top,EXEL,56.12
2026-09-13,top,APA,44.73
2026-09-13,top,FLXS,81.4
2026-09-13,top,MU,975.26
2026-09-13,top,SENEA,190.62
2026-09-13,top,AUPH,16.1
2026-09-13,top,OSCR,32.77
2026-09-13,top,CF,133.07
2026-09-13,top,NEM,126.81
2026-09-13,top,PARR,84.65
2026-09-13,top,HRMY,41.52
2026-09-13,top,ZVRA,12.01
2026-09-13,top,KRYS,347.0
2026-09-13,top,EVER,23.98
2026-09-13,top,VCTR,110.3
2026-09-13,top,MRP,29.69
2026-09-13,quality_value,IRWD,4.08
2026-09-13,quality_value,CRMD,7.83
2026-09-13,quality_value,NRDS,9.43
2026-09-13,quality_value,CMRE,15.28
2026-09-13,quality_value,CRCT,5.62
2026-09-13,quality_value,ESEA,74.56
2026-09-13,quality_value,HRTG,34.58
2026-09-13,quality_value,APA,44.73
2026-09-13,quality_value,YELP,21.28
2026-09-13,quality_value,NUTX,200.24
2026-09-13,quality_value,GSL,45.82
2026-09-13,quality_value,ADBE,252.23
2026-09-13,quality_value,CRUS,118.79
2026-09-13,quality_value,CARG,34.42
2026-09-13,quality_value,HRMY,41.52
2026-09-13,quality_value,MD,26.77
2026-09-13,quality_value,GPOR,173.25
2026-09-13,quality_value,PYPL,53.72
2026-09-13,quality_value,ANIP,70.19
2026-09-13,quality_value,RIGL,47.24
2026-09-13,deep_value,QFIN,8.47
2026-09-13,deep_value,KSS,17.23
2026-09-13,deep_value,TBLA,3.8
2026-09-13,deep_value,VSNT,37.19
2026-09-13,deep_value,CRMD,7.83
2026-09-13,deep_value,MOMO,4.95
2026-09-13,deep_value,NRDS,9.43
2026-09-13,deep_value,MSIF,12.49
2026-09-13,deep_value,CRTO,17.44
2026-09-13,deep_value,CI,280.76
2026-09-13,deep_value,UHS,174.83
2026-09-13,deep_value,YALA,5.5
2026-09-13,deep_value,ARDT,10.98
2026-09-13,deep_value,THO,72.86
2026-09-13,deep_value,IVR,6.8
2026-09-13,deep_value,GCO,35.12
2026-09-13,deep_value,INGM,27.55
2026-09-13,deep_value,ABG,208.5
2026-09-13,deep_value,M,22.08
2026-09-13,deep_value,VIPS,12.47
2026-09-13,growth_momentum,MU,975.26
2026-09-13,growth_momentum,SNDK,1633.35
2026-09-13,growth_momentum,DELL,567.29
2026-09-13,growth_momentum,ETON,57.08
2026-09-13,growth_momentum,MRVL,236.1
2026-09-13,growth_momentum,CDNA,50.26
2026-09-13,growth_momentum,AMD,516.13
2026-09-13,growth_momentum,LPG,55.18
2026-09-13,growth_momentum,PAYS,13.01
2026-09-13,growth_momentum,KNSA,76.27
2026-09-13,growth_momentum,INSW,103.65
2026-09-13,growth_momentum,LQDA,66.74
2026-09-13,growth_momentum,LFST,12.97
2026-09-13,growth_momentum,EVC,8.61
2026-09-13,growth_momentum,DINO,107.84
2026-09-13,growth_momentum,ECPG,98.56
2026-09-13,growth_momentum,OSCR,32.77
2026-09-13,growth_momentum,VLO,390.42
2026-09-13,growth_momentum,TWLO,227.35
2026-09-13,growth_momentum,STX,830.17
2026-09-13,insider_buying,JEF,51.96
2026-09-13,insider_buying,CBIO,19.41
2026-09-13,insider_buying,AAT,21.5
2026-09-13,insider_buying,BORR,4.27
2026-09-13,insider_buying,FSBC,46.41
2026-09-13,insider_buying,XRN,35.99
2026-09-13,insider_buying,NPB,17.22
2026-09-13,insider_buying,CGON,72.35
2026-09-13,insider_buying,CODI,11.01
2026-09-13,insider_buying,BWFG,68.57
2026-09-13,insider_buying,INBX,109.27
2026-09-13,insider_buying,OPFI,7.98
2026-09-13,insider_buying,GME,21.15
2026-09-13,insider_buying,AMRC,23.78
2026-09-13,insider_buying,MLAB,120.87
2026-09-13,insider_buying,AVBC,21.77
2026-09-13,insider_buying,APTV,45.54
2026-09-13,insider_buying,DFIN,47.95
2026-09-13,insider_buying,VTS,18.76
2026-09-13,insider_buying,HLNE,95.98
2026-09-13,income,QFIN,8.47
2026-09-13,income,SCHL,35.01
2026-09-13,income,TBLA,3.8
2026-09-13,income,IBTA,41.14
2026-09-13,income,FCN,148.07
2026-09-13,income,COKE,192.61
2026-09-13,income,SPB,86.22
2026-09-13,income,CRTO,17.44
2026-09-13,income,GRND,15.28
2026-09-13,income,ARI,6.63
2026-09-13,income,VIPS,12.47
2026-09-13,income,DFIN,47.95
2026-09-13,income,HOG,27.87
2026-09-13,income,GNL,9.05
2026-09-13,income,INMD,14.9
2026-09-13,income,MOMO,4.95
2026-09-13,income,RSKD,6.09
2026-09-13,income,CHCT,14.61
2026-09-13,income,VRTS,147.41
2026-09-13,income,CART,48.73
2026-09-13,pullback,APP,323.96
2026-09-13,pullback,SEZL,118.87
2026-09-13,pullback,WINA,308.47
2026-09-13,pullback,ADBE,252.23
2026-09-13,pullback,ADSK,212.4
2026-09-13,pullback,FICO,985.39
2026-09-13,pullback,IDXX,504.7
2026-09-13,pullback,INTU,321.57
2026-09-13,pullback,VRSK,176.2
2026-09-13,pullback,DPZ,311.6
2026-09-13,pullback,PEGA,36.24
2026-09-13,pullback,SNDK,1633.35
2026-09-13,pullback,DECK,81.27
2026-09-13,pullback,ODFL,179.79
2026-09-13,pullback,PTC,130.78
2026-09-13,pullback,ULS,71.25
2026-09-13,pullback,NTES,115.61
2026-09-13,pullback,CRUS,118.79
2026-09-13,pullback,RDDT,157.77
2026-09-13,pullback,PODD,131.96
2026-09-12,top,ECPG,98.56
2026-09-12,top,SNDK,1633.35
2026-09-12,top,CDNA,50.26
2026-09-12,top,NUTX,200.24
2026-09-12,top,INSW,103.65
2026-09-12,top,INCY,121.47
2026-09-12,top,LPG,55.18
2026-09-12,top,BFH,106.37
2026-09-12,top,KNSA,76.27
2026-09-12,top,EXEL,56.12
2026-09-12,top,APA,44.73
2026-09-12,top,FLXS,81.4
2026-09-12,top,MU,975.26
2026-09-12,top,SENEA,190.62
2026-09-12,top,AUPH,16.1
2026-09-12,top,OSCR,32.77
2026-09-12,top,CF,133.07
2026-09-12,top,NEM,126.81
2026-09-12,top,PARR,84.65
2026-09-12,top,HRMY,41.52
2026-09-12,top,ZVRA,12.01
2026-09-12,top,KRYS,347.0
2026-09-12,top,EVER,23.98
2026-09-12,top,VCTR,110.3
2026-09-12,top,MRP,29.69
2026-09-12,quality_value,IRWD,4.08
2026-09-12,quality_value,CRMD,7.83
2026-09-12,quality_value,NRDS,9.43
2026-09-12,quality_value,CMRE,15.28
2026-09-12,quality_value,CRCT,5.62
2026-09-12,quality_value,ESEA,74.56
2026-09-12,quality_value,HRTG,34.58
2026-09-12,quality_value,APA,44.73
2026-09-12,quality_value,YELP,21.28
2026-09-12,quality_value,NUTX,200.24
2026-09-12,quality_value,GSL,45.82
2026-09-12,quality_value,ADBE,252.23
2026-09-12,quality_value,CRUS,118.79
2026-09-12,quality_value,CARG,34.42
2026-09-12,quality_value,HRMY,41.52
2026-09-12,quality_value,MD,26.77
2026-09-12,quality_value,GPOR,173.25
2026-09-12,quality_value,PYPL,53.72
2026-09-12,quality_value,ANIP,70.19
2026-09-12,quality_value,RIGL,47.24
2026-09-12,deep_value,QFIN,8.47
2026-09-12,deep_value,KSS,17.23
2026-09-12,deep_value,TBLA,3.8
2026-09-12,deep_value,VSNT,37.19
2026-09-12,deep_value,CRMD,7.83
2026-09-12,deep_value,MOMO,4.95
2026-09-12,deep_value,NRDS,9.43
2026-09-12,deep_value,MSIF,12.49
2026-09-12,deep_value,CRTO,17.44
2026-09-12,deep_value,CI,280.76
2026-09-12,deep_value,UHS,174.83
2026-09-12,deep_value,YALA,5.5
2026-09-12,deep_value,ARDT,10.98
2026-09-12,deep_value,THO,72.86
2026-09-12,deep_value,IVR,6.8
2026-09-12,deep_value,GCO,35.12
